,Metric_1,Metric_2,Metric_3
Arm_1,0.4815310576871691,0.46646546177286075,0.052003480539970164
Arm_2,0.3880045864901425,0.3095066465111092,0.30248876699874827
Arm_3,0.33003276435365764,0.26286792473237297,0.4070993109139694
