,Metric_1,Metric_2,Metric_3
Arm_1,0.48288424482283254,0.46572969899042427,0.05138605618674319
Arm_2,0.378790071775849,0.30669081186741,0.31451911635674096
Arm_3,0.32170489058121293,0.29176395346574024,0.38653115595304693
