,Metric_1,Metric_2,Metric_3
Arm_1,0.4769143041402468,0.46160355840100314,0.061482137458750113
Arm_2,0.4225778421702617,0.2943636696096687,0.2830584882200696
Arm_3,0.34082477426875324,0.1877576586288813,0.4714175671023653
