,Metric_1,Metric_2,Metric_3
Arm_1,0.49039181772414075,0.46483814109745625,0.04477004117840303
Arm_2,0.37242508899278,0.30294725586516374,0.3246276551420563
Arm_3,0.3318294344911473,0.2814495590714486,0.38672100643740415
